path,work,chap,page
dr-stone/10/12.png,dr-stone,10,12
dr-stone/10/13.png,dr-stone,10,13
dr-stone/10/14.png,dr-stone,10,14
dr-stone/10/15.png,dr-stone,10,15
dr-stone/10/16.png,dr-stone,10,16
dr-stone/10/17.png,dr-stone,10,17
dr-stone/10/18.png,dr-stone,10,18
jujutsu-kaisen/10/1.png,jujutsu-kaisen,10,1
jujutsu-kaisen/10/2.png,jujutsu-kaisen,10,2
jujutsu-kaisen/10/3.png,jujutsu-kaisen,10,3
jujutsu-kaisen/10/4.png,jujutsu-kaisen,10,4
jujutsu-kaisen/10/5.png,jujutsu-kaisen,10,5
jujutsu-kaisen/10/6.png,jujutsu-kaisen,10,6
jujutsu-kaisen/10/7.png,jujutsu-kaisen,10,7
jujutsu-kaisen/10/8.png,jujutsu-kaisen,10,8
jujutsu-kaisen/10/9.png,jujutsu-kaisen,10,9
jujutsu-kaisen/10/10.png,jujutsu-kaisen,10,10
jujutsu-kaisen/10/11.png,jujutsu-kaisen,10,11
jujutsu-kaisen/10/12.png,jujutsu-kaisen,10,12
jujutsu-kaisen/10/13.png,jujutsu-kaisen,10,13
jujutsu-kaisen/10/14.png,jujutsu-kaisen,10,14
jujutsu-kaisen/10/15.png,jujutsu-kaisen,10,15
jujutsu-kaisen/10/16.png,jujutsu-kaisen,10,16
jujutsu-kaisen/10/17.png,jujutsu-kaisen,10,17
jujutsu-kaisen/10/18.png,jujutsu-kaisen,10,18
jujutsu-kaisen/10/19.png,jujutsu-kaisen,10,19
dr-stone/100/1.png,dr-stone,100,1
dr-stone/100/2.png,dr-stone,100,2
dr-stone/100/3.png,dr-stone,100,3
dr-stone/100/4.png,dr-stone,100,4
dr-stone/100/5.png,dr-stone,100,5
dr-stone/100/6.png,dr-stone,100,6
dr-stone/100/7.png,dr-stone,100,7
dr-stone/100/8.png,dr-stone,100,8
dr-stone/100/9.png,dr-stone,100,9
dr-stone/100/10.png,dr-stone,100,10
dr-stone/100/11.png,dr-stone,100,11
dr-stone/100/12.png,dr-stone,100,12
dr-stone/100/13.png,dr-stone,100,13
dr-stone/100/14.png,dr-stone,100,14
dr-stone/100/15.png,dr-stone,100,15
dr-stone/100/16.png,dr-stone,100,16
dr-stone/100/17.png,dr-stone,100,17
dr-stone/100/18.png,dr-stone,100,18
dr-stone/100/19.png,dr-stone,100,19
dr-stone/100/20.png,dr-stone,100,20
dr-stone/100/21.png,dr-stone,100,21
dr-stone/100/22.png,dr-stone,100,22
dr-stone/100/23.png,dr-stone,100,23
dr-stone/100/24.png,dr-stone,100,24
jujutsu-kaisen/100/1.png,jujutsu-kaisen,100,1
jujutsu-kaisen/100/2.png,jujutsu-kaisen,100,2
jujutsu-kaisen/100/3.png,jujutsu-kaisen,100,3
jujutsu-kaisen/100/4.png,jujutsu-kaisen,100,4
jujutsu-kaisen/100/5.png,jujutsu-kaisen,100,5
jujutsu-kaisen/100/6.png,jujutsu-kaisen,100,6
jujutsu-kaisen/100/7.png,jujutsu-kaisen,100,7
jujutsu-kaisen/100/8.png,jujutsu-kaisen,100,8
jujutsu-kaisen/100/9.png,jujutsu-kaisen,100,9
jujutsu-kaisen/100/10.png,jujutsu-kaisen,100,10
jujutsu-kaisen/100/11.png,jujutsu-kaisen,100,11
jujutsu-kaisen/100/12.png,jujutsu-kaisen,100,12
jujutsu-kaisen/100/13.png,jujutsu-kaisen,100,13
jujutsu-kaisen/100/14.png,jujutsu-kaisen,100,14
jujutsu-kaisen/100/15.png,jujutsu-kaisen,100,15
jujutsu-kaisen/100/16.png,jujutsu-kaisen,100,16
jujutsu-kaisen/100/17.png,jujutsu-kaisen,100,17
jujutsu-kaisen/100/18.png,jujutsu-kaisen,100,18
jujutsu-kaisen/100/19.png,jujutsu-kaisen,100,19
jujutsu-kaisen/100/20.png,jujutsu-kaisen,100,20
jujutsu-kaisen/100/21.png,jujutsu-kaisen,100,21
dr-stone/101/1.png,dr-stone,101,1
dr-stone/101/2.png,dr-stone,101,2
dr-stone/101/3.png,dr-stone,101,3
dr-stone/101/4.png,dr-stone,101,4
dr-stone/101/5.png,dr-stone,101,5
dr-stone/101/6.png,dr-stone,101,6
dr-stone/101/7.png,dr-stone,101,7
dr-stone/101/8.png,dr-stone,101,8
dr-stone/101/9.png,dr-stone,101,9
dr-stone/101/10.png,dr-stone,101,10
dr-stone/101/11.png,dr-stone,101,11
dr-stone/101/12.png,dr-stone,101,12
dr-stone/101/13.png,dr-stone,101,13
dr-stone/101/14.png,dr-stone,101,14
dr-stone/101/15.png,dr-stone,101,15
dr-stone/101/16.png,dr-stone,101,16
dr-stone/101/17.png,dr-stone,101,17
dr-stone/101/18.png,dr-stone,101,18
jujutsu-kaisen/101/1.png,jujutsu-kaisen,101,1
jujutsu-kaisen/101/2.png,jujutsu-kaisen,101,2
jujutsu-kaisen/101/3.png,jujutsu-kaisen,101,3
jujutsu-kaisen/101/4.png,jujutsu-kaisen,101,4
jujutsu-kaisen/101/5.png,jujutsu-kaisen,101,5
jujutsu-kaisen/101/6.png,jujutsu-kaisen,101,6
jujutsu-kaisen/101/7.png,jujutsu-kaisen,101,7
jujutsu-kaisen/101/8.png,jujutsu-kaisen,101,8
jujutsu-kaisen/101/9.png,jujutsu-kaisen,101,9
jujutsu-kaisen/101/10.png,jujutsu-kaisen,101,10
jujutsu-kaisen/101/11.png,jujutsu-kaisen,101,11
